# tof, counts, bg
1.176000000000044707e+02,0.000000000000000000e+00,9.407215093740346756e-02
1.180000000000045048e+02,0.000000000000000000e+00,8.699334800320271399e-02
1.184000000000045389e+02,0.000000000000000000e+00,8.009962425233921324e-02
1.188000000000045162e+02,0.000000000000000000e+00,7.338557666447083350e-02
1.192000000000044935e+02,0.000000000000000000e+00,6.684597610858714067e-02
1.196000000000045276e+02,0.000000000000000000e+00,6.047576124339117815e-02
1.200000000000045617e+02,0.000000000000000000e+00,5.427003264852200276e-02
1.204000000000045389e+02,0.000000000000000000e+00,4.822404717728335372e-02
1.208000000000045162e+02,0.000000000000000000e+00,4.233321252193401191e-02
1.212000000000045503e+02,0.000000000000000000e+00,3.659684322032745463e-02
1.216000000000045844e+02,0.000000000000000000e+00,3.310960963319713179e-02
1.220000000000045617e+02,0.000000000000000000e+00,3.161262392471656663e-02
1.224000000000045389e+02,0.000000000000000000e+00,3.015103795649183571e-02
1.228000000000045731e+02,0.000000000000000000e+00,2.872388400642986173e-02
1.232000000000046072e+02,0.000000000000000000e+00,2.733022398846489398e-02
1.236000000000045844e+02,0.000000000000000000e+00,2.596914845457584664e-02
1.240000000000045617e+02,0.000000000000000000e+00,2.463977563326856177e-02
1.244000000000045958e+02,0.000000000000000000e+00,2.334125050309299523e-02
1.248000000000046299e+02,0.000000000000000000e+00,2.207274389982479684e-02
1.252000000000046072e+02,0.000000000000000000e+00,2.083308544773664409e-02
1.256000000000045844e+02,0.000000000000000000e+00,1.961518892850113230e-02
1.260000000000046185e+02,0.000000000000000000e+00,1.842584218724178241e-02
1.264000000000046526e+02,0.000000000000000000e+00,1.726427835911345521e-02
1.268000000000046299e+02,0.000000000000000000e+00,1.612975357561910461e-02
1.272000000000046072e+02,0.000000000000000000e+00,1.502154620723054543e-02
1.276000000000046413e+02,0.000000000000000000e+00,1.393895613307228817e-02
1.280000000000046612e+02,0.000000000000000000e+00,1.288130403663217440e-02
1.284000000000046384e+02,0.000000000000000000e+00,1.184793072649845992e-02
1.288000000000046157e+02,0.000000000000000000e+00,1.083819648117136450e-02
1.292000000000046498e+02,0.000000000000000000e+00,9.851480417028910669e-03
1.296000000000046839e+02,0.000000000000000000e+00,8.887179878570137040e-03
1.300000000000046612e+02,0.000000000000000000e+00,7.944685857370122756e-03
1.304000000000046384e+02,0.000000000000000000e+00,7.023328245202593162e-03
1.308000000000046725e+02,0.000000000000000000e+00,6.122721334162841735e-03
1.312000000000047066e+02,0.000000000000000000e+00,5.242328214637969816e-03
1.316000000000046839e+02,0.000000000000000000e+00,4.381627512569283810e-03
1.320000000000046612e+02,0.000000000000000000e+00,3.540112895019786789e-03
1.324000000000046953e+02,0.000000000000000000e+00,2.717292592838255107e-03
1.328000000000047294e+02,0.000000000000000000e+00,1.912688939787163950e-03
1.332000000000047066e+02,0.000000000000000000e+00,1.125837927520873232e-03
1.336000000000046839e+02,0.000000000000000000e+00,3.562887758288385250e-04
1.340000000000047180e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.344000000000047521e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.348000000000047294e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.352000000000047066e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.356000000000047407e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000047748e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.364000000000047521e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.368000000000047294e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.372000000000047635e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.376000000000047976e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.380000000000047748e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.384000000000047521e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.388000000000047862e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.392000000000048203e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.396000000000047976e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000047748e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.404000000000048090e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.408000000000048431e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.412000000000048203e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.416000000000047976e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000048317e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.424000000000048658e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.428000000000048431e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.432000000000048203e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.436000000000048544e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.440000000000048885e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.444000000000048658e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.448000000000048431e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.452000000000048772e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.456000000000049113e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.460000000000048885e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.464000000000048658e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.468000000000048999e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.472000000000049340e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.476000000000049113e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000048885e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.484000000000049226e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.488000000000049567e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.492000000000049340e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.496000000000049113e+02,0.000000000000000000e+00,0.000000000000000000e+00
